"性","セイ"
"秋泉","あきいずみ"
"秋生","あきう"
"秋保","あきう"
"秋江","あきえ"
"穐枝","あきえだ"
"秋枝","あきえだ"
"秋尾","あきお"
"穐岡","あきおか"
"秋岡","あきおか"
"秋風","あきかぜ"
"秋川","あきかわ"
"秋川","あきがわ"
"秋草","あきくさ"
"秋國","あきくに"
"秋久保","あきくぼ"
"秋草","あきぐさ"
"秋口","あきぐち"
"明口","あきぐち"
"秋坂","あきさか"
"明坂","あきさか"
"秋貞","あきさだ"
"秋定","あきさだ"
"秋里","あきさと"
"秋沢","あきさわ"
"秋澤","あきさわ"
"秋崎","あきざき"
"秋里","あきざと"
"穐澤","あきざわ"
"秋沢","あきざわ"
"秋澤","あきざわ"
"秋鹿","あきしか"
"秋重","あきしげ"
"秋下","あきした"
"秋篠","あきしの"
"秋島","あきしま"
"秋城","あきしろ"
"秋末","あきすえ"
"秋月","あきずき"
"秋炭","あきずみ"
"明瀬","あきせ"
"秋園","あきぞの"
"穐田","あきた"
"秋田","あきた"
"飽田","あきた"
"明田","あきた"
"龝田","あきた"
"秋竹","あきたけ"
"秋谷","あきたに"
"秋田谷","あきたや"
"明田","あきだ"
"穐近","あきちか"
"秋津","あきつ"
"秋常","あきつね"
"明杖","あきづえ"
"秋塚","あきづか"
"秋月","あきづき"
"秋槻","あきづき"
"明月","あきづき"
"明槻","あきづき"
"秋富","あきとみ"
"秋冨","あきとみ"
"秋友","あきとも"
"秋冨","あきどみ"
"八月十五日","あきなか"
"秋永","あきなが"
"秋長","あきなが"
"秋成","あきなり"
"秋庭","あきにわ"
"秋根","あきね"
"秋濃","あきの"
"秋野","あきの"
"秋濃","あきのう"
"秋信","あきのぶ"
"秋畑","あきはた"
"秋浜","あきはま"
"穐原","あきはら"
"秋原","あきはら"
"穐葉","あきば"
"秋場","あきば"
"秋庭","あきば"
"秋馬","あきば"
"秋葉","あきば"
"秋林","あきばやし"
"昭林","あきばやし"
"秋久","あきひさ"
"秋廣","あきひろ"
"秋房","あきふさ"
"秋藤","あきふじ"
"秋保","あきほ"
"秋穂","あきほ"
"秋間","あきま"
"秋政","あきまさ"
"秋松","あきまつ"
"秋丸","あきまる"
"秋水","あきみず"
"秋道","あきみち"
"秋光","あきみつ"
"秋満","あきみつ"
"秋峯","あきみね"
"秋嶺","あきみね"
"秋宗","あきむね"
"穐村","あきむら"
"秋村","あきむら"
"穐元","あきもと"
"穐本","あきもと"
"秋元","あきもと"
"秋本","あきもと"
"飽本","あきもと"
"明元","あきもと"
"龝本","あきもと"
"秋森","あきもり"
"秋家","あきや"
"秋谷","あきや"
"秋安","あきやす"
"穐山","あきやま"
"暁山","あきやま"
"秋山","あきやま"
"明山","あきやま"
"龝山","あきやま"
"穐吉","あきよし"
"秋吉","あきよし"
"秋好","あきよし"
"明吉","あきよし"
"龝吉","あきよし"
"秋楽","あきら"
"晶","あきら"
"審","あきら"
"審良","あきら"
"明","あきら"
"明楽","あきら"
"明樂","あきら"
"秋和","あきわ"
"阿岸","あぎし"
"安久","あく"
"阿久井","あくい"
"安久井","あくい"
"阿久沢","あくさわ"
"阿久澤","あくさわ"
"阿久沢","あくざわ"
"阿久澤","あくざわ"
"悪七","あくしち"
"芥","あくた"
"芥田","あくた"
"飽田","あくた"
"芥川","あくたがわ"
"芥屋","あくたや"
"阿久津","あくつ"
"安久津","あくつ"
"堆","あくつ"
"圷","あくつ"
"阿久戸","あくと"
"肥土","あくと"
"飽戸","あくと"
"阿久戸","あくど"
"阿久根","あくね"
"悪虫","あくむし"
"安久","あぐ"
"阿久井","あぐい"
"安居","あぐい"
"安居院","あぐい"
"安喰","あぐい"
"日外","あぐい"
"安居院","あぐいん"
"阿草","あぐさ"
"阿口","あぐち"
"粟国","あぐに"
"阿具根","あぐね"
"莫根","あぐね"
"安倉","あぐら"
"安久利","あぐり"
"阿黒","あぐろ"
"安黒","あぐろ"
"朱","あけ"
"明","あけ"
"明井","あけい"
"明内","あけうち"
"明尾","あけお"
"明上","あけがみ"
"暁烏","あけがらす"
"明木","あけぎ"
"明坂","あけさか"
"明定","あけさだ"
"明島","あけしま"
"明代","あけしろ"
"明島","あけじま"
"明隅","あけずみ"
"緋田","あけた"
"明田","あけた"
"明田川","あけたがわ"
"明谷","あけたに"
"緋田","あけだ"
"明田","あけだ"
"明知","あけち"
"明地","あけち"
"明智","あけち"
"明致","あけち"
"明妻","あけづま"
"明戸","あけと"
"明渡","あけど"
"安慶名","あけな"
"明永","あけなが"
"明庭","あけにわ"
"明野","あけの"
"明橋","あけはし"
"明畠","あけはた"
"明林","あけばやし"
"明日","あけひ"
"明比","あけひ"
"明比","あけび"
"明部","あけべ"
"明穂","あけほ"
"明星","あけほし"
"明星","あけぼし"
"明保能","あけぼの"
"明間","あけま"
"明政","あけまさ"
"明松","あけまつ"
"明海","あけみ"
"明見","あけみ"
"明光","あけみつ"
"明峯","あけみね"
"明村","あけむら"
"明元","あけもと"
"明本","あけもと"
"明谷","あけや"
"朱山","あけやま"
"明山","あけやま"
"明吉","あけよし"
"明楽","あけら"
"明樂","あけら"
"明里","あけり"
"揚","あげ"
"揚井","あげい"
"上石","あげいし"
"揚石","あげいし"
"揚岩","あげいわ"
"上沢","あげさわ"
"上路","あげじ"
"安慶田","あげた"
"上田","あげた"
"明田","あげた"
"揚田","あげた"
"安慶田","あげだ"
"上妻","あげつま"
"揚妻","あげつま"
"揚戸","あげと"
"安慶名","あげな"
"揚野","あげの"
"上之園","あげのその"
"上濱","あげはま"
"揚原","あげはら"
"上松","あげまつ"
"上見","あげみ"
"上水","あげみず"
"揚村","あげむら"
"上本","あげもと"
"阿古","あこ"
"阿児","あこ"
"吾子","あこ"
"赤穂","あこう"
"赤廣","あこう"
"赤穗","あこう"
"赤穂谷","あこうだに"
"阿古下","あこした"
"阿子島","あこしま"
"阿子島","あこじま"
"阿郷","あごう"
"吾郷","あごう"
"阿佐","あさ"
"浅","あさ"
"朝","あさ"
"麻","あさ"
"旭井","あさい"
"浅井","あさい"
"朝位","あさい"
"朝井","あさい"
"朝居","あさい"
"麻井","あさい"
"淺井","あさい"
"浅石","あさいし"
"朝稲","あさいね"
"朝鵜","あさう"
"麻植","あさうえ"
"朝内","あさうち"
"浅海","あさうみ"
"浅浦","あさうら"
"朝浦","あさうら"
"浅江","あさえ"
"朝栄","あさえ"
"朝江","あさえ"
"浅枝","あさえだ"
"朝枝","あさえだ"
"淺枝","あさえだ"
"浅黄","あさお"
"浅生","あさお"
"浅尾","あさお"
"浅雄","あさお"
"旦尾","あさお"
"朝生","あさお"
"朝尾","あさお"
"麻生","あさお"
"麻尾","あさお"
"浅岡","あさおか"
"朝岡","あさおか"
"麻岡","あさおか"
"阿坂","あさか"
"安坂","あさか"
"安積","あさか"
"浅加","あさか"
"浅賀","あさか"
"浅香","あさか"
"朝賀","あさか"
"朝香","あさか"
"淺香","あさか"
"浅海","あさかい"
"浅貝","あさかい"
"朝海","あさかい"
"朝貝","あさかい"
"浅蔭","あさかげ"
"朝蔭","あさかげ"
"浅上","あさかみ"
"浅川","あさかわ"
"朝河","あさかわ"
"朝川","あさかわ"
"麻河","あさかわ"
"麻川","あさかわ"
"淺川","あさかわ"
"浅賀","あさが"
"朝賀","あさが"
"麻賀","あさが"
"浅貝","あさがい"
"朝貝","あさがい"
"朝顔","あさがお"
"浅上","あさがみ"
"麻上","あさがみ"
"浅川","あさがわ"
"浅木","あさき"
"朝喜","あさき"
"朝木","あさき"
"朝来","あさき"
"麻喜","あさき"
"麻木","あさき"
"浅木森","あさきもり"
"浅黄","あさぎ"
"浅木","あさぎ"
"淺木","あさぎ"
"浅桐","あさぎり"
"浅霧","あさぎり"
"淺桐","あさぎり"
"浅草","あさくさ"
"朝国","あさくに"
"朝久野","あさくの"
"朝来野","あさくの"
"浅窪","あさくぼ"
"朝熊","あさくま"
"朝隈","あさくま"
"浅倉","あさくら"
"浅蔵","あさくら"
"朝倉","あさくら"
"朝倉","あさくろ"
"阿佐慶","あさげ"
"浅古","あさこ"
"浅子","あさこ"
"朝子","あさこ"
"浅越","あさこし"
"淺越","あさこし"
"浅越","あさごえ"
"浅越","あさごし"
"浅坂","あささか"
"浅沢","あさざわ"
"浅澤","あさざわ"
"朝澤","あさざわ"
"淺澤","あさざわ"
"浅芝","あさしば"
"浅島","あさしま"
"浅地","あさじ"
"淺治","あさじ"
"浅島","あさじま"
"浅嶋","あさじま"
"麻島","あさじま"
"浅妻","あさずま"
"朝妻","あさずま"
"浅谷","あさたに"
"麻谷","あさたに"
"淺谷","あさたに"
"阿早田","あさだ"
"浅田","あさだ"
"朝田","あさだ"
"麻田","あさだ"
"淺田","あさだ"
"浅地","あさぢ"
"浅津","あさつ"
"朝塚","あさつか"
"朝付","あさつけ"
"浅妻","あさつま"
"朝妻","あさつま"
"浅津","あさづ"
"朝月","あさづき"
"浅妻","あさづま"
"朝妻","あさづま"
"麻妻","あさづま"
"安里","あさと"
"朝戸","あさと"
"浅富","あさとみ"
"浅冨","あさとみ"
"朝戸","あさど"
"浅名","あさな"
"朝中","あさなか"
"麻中","あさなか"
"浅長","あさなが"
"麻薙","あさなぎ"
"朝鍋","あさなべ"
"浅並","あさなみ"
"朝波","あさなみ"
"浅成","あさなり"
"朝西","あさにし"
"浅沼","あさぬま"
"浅湫","あさぬま"
"淺沼","あさぬま"
"浅埜","あさの"
"浅野","あさの"
"朝野","あさの"
"麻野","あさの"
"淺野","あさの"
"浅野井","あさのい"
"麻野井","あさのい"
"浅野間","あさのま"
"浅海","あさのみ"
"浅野目","あさのめ"
"浅葉","あさは"
"浅畑","あさはた"
"麻畑","あさはた"
"麻畠","あさはた"
"浅原","あさはら"
"朝原","あさはら"
"麻原","あさはら"
"淺原","あさはら"
"浅羽","あさば"
"浅場","あさば"
"浅葉","あさば"
"麻場","あさば"
"淺羽","あさば"
"麻畠","あさばたけ"
"浅林","あさばやし"
"旭","あさひ"
"朝火","あさひ"
"朝日","あさひ"
"朝比","あさひ"
"朝飛","あさひ"
"旭岡","あさひおか"
"旭田","あさひだ"
"朝夷","あさひな"
"朝比奈","あさひな"
"旭谷","あさひや"
"朝広","あさひろ"
"朝廣","あさひろ"
"朝藤","あさふじ"
"朝生","あさぶ"
"麻生","あさぶ"
"朝吹","あさぶき"
"朝武士","あさぶし"
"阿佐部","あさべ"
"浅部","あさべ"
"朝部","あさべ"
"朝穂","あさほ"
"朝穗","あさほ"
"浅堀","あさほり"
"朝堀","あさほり"
"浅間","あさま"
"朝間","あさま"
"朝馬","あさま"
"淺間","あさま"
"朝町","あさまち"
"浅松","あさまつ"
"淺松","あさまつ"
"阿佐見","あさみ"
"阿佐美","あさみ"
"阿左見","あさみ"
"阿左美","あさみ"
"浅海","あさみ"
"浅見","あさみ"
"浅美","あさみ"
"朝海","あさみ"
"朝見","あさみ"
"朝民","あさみ"
"浅水","あさみず"
"朝光","あさみつ"
"朝緑","あさみどり"
"浅村","あさむら"
"淺村","あさむら"
"浅面","あさめん"
"浅本","あさもと"
"朝元","あさもと"
"朝本","あさもと"
"麻元","あさもと"
"浅森","あさもり"
"朝森","あさもり"
"浅谷","あさや"
"浅山","あさやま"
"朝山","あさやま"
"淺山","あさやま"
"浅利","あさり"
"浅里","あさり"
"麻里","あさり"
"浅輪","あさわ"
"浅和","あさわ"
"浅若","あさわか"
"阿座上","あざかみ"
"呰上","あざかみ"
"安座上","あざがみ"
"浅越","あざごえ"
"阿座間","あざま"
"安座間","あざま"
"阿佐美","あざみ"
"阿左美","あざみ"
"浅見","あざみ"
"莇","あざみ"
"薊","あざみ"
"莇田","あざみた"
"芦","あし"
"足洗","あしあらい"
"芦内","あしうち"
"芦生","あしお"
"芦尾","あしお"
"足尾","あしお"
"芦生","あしおい"
"芦岡","あしおか"
"足駕","あしか"
"芦界","あしかい"
"足利","あしかが"
"葦苅","あしかり"
"芦刈","あしかり"
"芦川","あしかわ"
"蘆川","あしかわ"
"阿志賀","あしが"
"芦垣","あしがき"
"足垣","あしがき"
"芦ヶ谷","あしがや"
"足木","あしき"
"芦北","あしきた"
"芦久保","あしくぼ"
"芦口","あしぐち"
"芦崎","あしさき"
"芦硲","あしさこ"
"芦崎","あしざき"
"葦沢","あしざわ"
"葦澤","あしざわ"
"芦沢","あしざわ"
"芦澤","あしざわ"
"足沢","あしざわ"
"蘆沢","あしざわ"
"蘆澤","あしざわ"
"芦住","あしずみ"
"芦田","あした"
"芦高","あしたか"
"足高","あしたか"
"芦田川","あしたがわ"
"芦立","あしたて"
"葦谷","あしたに"
"芦谷","あしたに"
"足谷","あしたに"
"蘆谷","あしたに"
"葦田","あしだ"
"芦田","あしだ"
"足田","あしだ"
"蘆田","あしだ"
"芦立","あしだて"
"蘆立","あしだて"
"葦津","あしつ"
"葦津","あしづ"
"芦津","あしづ"
"芦塚","あしづか"
"安次富","あしとみ"
"葦名","あしな"
"芦名","あしな"
"芦中","あしなか"
"芦名澤","あしなざわ"
"芦沼","あしぬま"
"葦埜","あしの"
"芦野","あしの"
"悪原","あしはら"
"芦原","あしはら"
"足原","あしはら"
"蘆原","あしはら"
"芦葉","あしば"
"足羽","あしば"
"芦林","あしばやし"
"芦原","あしばら"
"芦部","あしぶ"
"芦部","あしべ"
"芦辺","あしべ"
"蘆邉","あしべ"
"芦間","あしま"
"安次嶺","あしみね"
"芦村","あしむら"
"蘆村","あしむら"
"芦本","あしもと"
"芦森","あしもり"
"足森","あしもり"
"芦谷","あしや"
"芦山","あしやま"
"足羽","あしわ"
"芦分","あしわけ"
"芦原","あしわら"
"阿字","あじ"
"安治","あじ"
"味岡","あじおか"
"味香","あじか"
"味方","あじかた"
"阿路川","あじかわ"
"安治川","あじかわ"
"庵治川","あじかわ"
"阿式","あじき"
"安喰","あじき"
"安食","あじき"
"味木","あじき"
"味口","あじぐち"
"鯵坂","あじさか"
"鰺坂","あじさか"
"味沢","あじさわ"
"味澤","あじさわ"
"味志","あじし"
"味田","あじた"
"味谷","あじたに"
"阿字地","あじち"
"阿慈知","あじち"
"阿慈地","あじち"
"味地","あじち"
"安室","あじつ"
"味戸","あじと"
"安次富","あじとみ"
"安次冨","あじとみ"
"阿品","あじな"
"阿島","あじま"
"安島","あじま"
"安嶋","あじま"
"安心院","あじみ"
"安次嶺","あじみね"
"安心院","あじむ"
"味村","あじむら"
"味本","あじもと"
"阿舎利","あじゃり"
"味山","あじやま"
"安代","あじろ"
"足代","あじろ"
"網代","あじろ"
"安宿","あすか"
"飛鳥","あすか"
"飛鳥井","あすかい"
"飛鳥田","あすかた"
"飛鳥方","あすかた"
"飛鳥間","あすかま"
"足助","あすけ"
"飛鳥間","あすま"
"飛鳥馬","あすま"
"遊馬","あすま"
"阿隅","あすみ"
"明日山","あすやま"
"阿諏訪","あすわ"
"安随","あずい"
"小豆","あずき"
"小豆沢","あずきさわ"
"小豆澤","あずきさわ"
"小豆沢","あずきざわ"
"小豆澤","あずきざわ"
"小豆野","あずきの"
"東瀬","あずせ"
"小豆畑","あずはた"
"阿妻","あずま"
"阿萬","あずま"
"我妻","あずま"
"吾妻","あずま"
"四阿","あずま"
"東","あずま"
"東妻","あずま"
"東井","あずまい"
"東石","あずまいし"
"東内","あずまうち"
"東川","あずまかわ"
"東垣外","あずまがいと"
"東田","あずまだ"
"東根","あずまね"
"東野","あずまの"
"東見","あずまみ"
"東屋","あずまや"
"東谷","あずまや"
"阿住","あずみ"
"阿澄","あずみ"
"阿曇","あずみ"
"安海","あずみ"
"安住","あずみ"
"安積","あずみ"
"阿瀬","あせ"
"阿世知","あせち"
"阿瀬知","あせち"
"阿瀬見","あせみ"
"畦","あぜ"
"畦浦","あぜうら"
"畔川","あぜかわ"
"畔上","あぜがみ"
"畦倉","あぜくら"
"畔越","あぜこし"
"畔崎","あぜざき"
"畦田","あぜた"
"畝田","あぜた"
"畔田","あぜた"
"畔高","あぜたか"
"阿世知","あぜち"
"畦地","あぜち"
"畔地","あぜち"
"疇地","あぜち"
"畔津","あぜつ"
"畦原","あぜはら"
"畔原","あぜはら"
"畦町","あぜまち"
"畦元","あぜもと"
"畦本","あぜもと"
"畝本","あぜもと"
"畦柳","あぜやなぎ"
"畔柳","あぜやなぎ"
"阿曾","あそ"
"阿曽","あそ"
"阿蘇","あそ"
"阿蘓","あそ"
"安曽","あそ"
"安蘇","あそ"
"安蘓","あそ"
"麻生","あそ"
"阿宗","あそう"
"阿相","あそう"
"浅生","あそう"
"朝生","あそう"
"麻生","あそう"
"淺生","あそう"
"麻生川","あそがわ"
"阿蘇谷","あそたに"
"阿曽田","あそだ"
"安曽田","あそだ"
"遊田","あそだ"
"阿曽沼","あそぬま"
"遊部","あそべ"
"安蘇谷","あそや"
"阿孫","あそん"
"阿多","あた"
"安宅川","あたいがわ"
"与","あたえ"
"與","あたえ"
"阿高","あたか"
"安高","あたか"
"安宅","あたか"
"安宅山","あたかやま"
"阿田川","あたがわ"
"安宅","あたぎ"
"能木","あたぎ"
"阿宅","あたく"
"阿多口","あたぐち"
"阿竹","あたけ"
"阿武","あたけ"
"安宅","あたけ"
"愛宕","あたご"
"足立","あたち"
"熱海","あたみ"
"新","あたら"
